# word	per_million
# Source: Google Books Ngram Viewer 1-gram English dataset (20120701),
# https://books.google.com/ngrams/info -- freely usable, no share-alike.
# Regenerate with scripts/build_english_frequency.py. Top 15000 words
# by total occurrence across a corpus of 378277505813 tokens.
issues	125.4860
else	125.1891
mass	125.1443
coming	125.0987
determined	124.8830
european	124.7863
events	124.7108
oil	124.3508
security	124.3497
fine	124.3349
distance	124.2681
move	124.1974
effective	124.0437
paid	123.8971
nation	123.6319
step	123.6181
gives	123.5674
success	123.4329
literature	123.0404
products	122.9073
neither	122.8113
resources	122.7802
follow	122.7623
cross	122.4393
ask	122.0364
levels	121.9965
immediately	121.9738
certainly	121.8785
principle	121.8779
moral	121.7189
july	121.2744
formed	121.2566
reached	121.2505
faith	121.1806
deal	121.1251
recent	120.8461
legal	120.6041
administration	120.5784
comes	120.5117
materials	120.4726
potential	120.3522
presented	120.2050
congress	120.1813
civil	120.1413
directly	119.8991
meet	119.8606
met	119.8384
principles	119.8297
expression	119.7117
myself	119.5968
born	119.3542
wide	119.2821
post	119.2321
justice	119.0370
strength	119.0134
relation	118.9641
statement	118.9234
financial	118.8906
dead	118.8847
larger	118.7454
cultural	118.6915
historical	118.2628
existence	117.7527
built	117.6084
weight	117.5488
reference	117.3920
feeling	117.3699
round	117.2169
reported	116.7895
risk	116.7573
appeared	116.4241
included	116.2658
scale	116.2448
individuals	116.1241
supply	116.0239
million	115.8054
differences	115.7797
write	115.5190
doubt	114.7804
hour	114.7067
industrial	114.6126
april	114.4847
primary	114.4149
base	114.3567
letters	114.3119
interests	114.2097
numbers	114.1723
seven	114.1060
places	113.8717
wall	113.8040
complex	113.7843
entire	113.7732
try	113.7048
county	113.6952
article	113.6892
costs	113.6108
thinking	113.3232
record	113.1585
flow	113.1255
follows	113.0726
sun	113.0593
attempt	112.7818
bad	112.7694
instance	112.7495
commission	112.7467
easily	112.5968
unit	112.4543
died	112.2379
green	112.1985
charles	112.1282
week	112.0016
demand	111.7783
acid	111.6073
environment	111.5615
proper	111.3587
takes	111.2223
positive	111.1342
talk	111.0238
active	110.9827
image	110.9346
plant	110.8279
freedom	110.8075
library	110.6652
dark	110.5915
mentioned	110.4226
key	110.4205
co	110.3406
speak	110.3288
allowed	110.2717
whatever	110.2324
concerned	110.1711
measure	109.9151
lives	109.9120
merely	109.7650
fear	109.7423
paris	109.7133
independent	109.6733
heat	109.5979
circumstances	109.5225
thomas	109.3585
giving	109.2028
master	108.9868
tried	108.9443
china	108.8542
eye	108.7941
upper	108.4028
gone	108.3703
actual	108.2299
cold	108.1390
frequently	107.9388
eight	107.7466
ability	107.7253
unless	107.7048
regard	107.6756
henry	107.5995
status	107.5765
hear	107.5653
thousand	107.3042
minutes	107.2192
parties	107.2183
stock	107.1844
student	107.1555
rise	107.1491
arms	107.0077
factor	107.0006
charge	106.9692
easy	106.9240
created	106.7489
stand	106.6497
started	106.4236
share	106.3595
picture	106.3592
content	106.3553
herself	106.1643
agreement	106.1086
remember	105.9658
constant	105.9633
none	105.9420
popular	105.8403
appropriate	105.7722
style	105.6193
start	105.5754
goods	105.4908
considerable	105.4391
ready	105.2269
occur	105.0551
y	105.0490
notes	105.0349
forward	104.9237
rates	104.7343
returned	104.6841
defined	104.6052
construction	104.2736
minister	104.2699
useful	104.2509
remain	104.2304
nations	104.1927
island	104.1775
stood	104.0018
choice	103.9369
district	103.8725
speech	103.8247
economy	103.6166
jesus	103.5655
moved	103.5075
powers	103.3428
paul	103.1838
desire	103.1293
division	103.1136
bill	102.9749
germany	102.9526
highly	102.8939
task	102.8032
staff	102.7151
additional	102.6564
progress	102.5999
site	102.5790
reasons	102.3385
serious	102.2423
re	102.1081
gold	102.0732
boy	102.0685
brother	102.0366
remained	102.0148
january	101.9739
sort	101.4360
relative	101.3453
pass	101.3038
previous	101.2997
pain	101.2356
separate	101.0961
planning	101.0337
lay	101.0031
exchange	100.9822
der	100.7292
processes	100.7145
robert	100.6729
critical	100.6468
animals	100.6232
ancient	100.5356
functions	100.5223
october	100.4405
august	100.3920
sufficient	100.3369
discussed	100.1796
marriage	99.9225
remains	99.8577
programs	99.8077
introduction	99.5998
effort	99.5696
memory	99.5546
girl	99.5155
sources	99.4898
internal	99.4341
soul	99.2794
bed	99.2493
news	99.2481
des	99.1926
le	99.1903
brown	99.1662
caused	99.1627
chinese	99.1602
lack	98.9512
husband	98.6213
september	98.5620
lived	98.5040
learn	98.4077
command	98.3503
politics	98.2298
december	98.1599
duty	98.0922
teacher	98.0063
daily	98.0021
technology	97.9895
essential	97.9728
allow	97.8235
box	97.7792
iron	97.6978
failure	97.5931
decided	97.2889
concept	97.2817
noted	97.2436
names	97.0311
getting	96.9866
pattern	96.9807
ago	96.9646
phase	96.8770
teachers	96.8598
otherwise	96.7409
variety	96.6326
determine	96.5364
hence	96.4650
blue	96.4572
prepared	96.3900
figures	96.3801
contact	96.3534
lot	96.3510
continue	96.2079
measures	96.1925
h	96.1857
heavy	95.9789
labour	95.9278
companies	95.9053
suggested	95.9022
southern	95.8907
subjects	95.7197
features	95.6494
communication	95.6440
fully	95.5713
